cfg,expiry,dte,short_k,long_k,short_delta,short_iv,credit,max_loss,width,bp,credit_pct_of_width,credit_pct_of_bp,be_cushion_pct,strike_cushion_pct,p_otm_delta,p_otm_iv,p_otm_rv,expected_value_vs_rv,theta_daily_lot,vega_lot,be_over_1sigma_rv,roi_if_held,roi_mgmt21
Δ0.30/w100,May-26,36,23900,23800,-0.302,18.5,28.8,71.2,100,6942.0,28.8,27.0,1.98,1.86,0.7,0.63,0.59,-12.2,4.9,67.1,0.24,27.0,14.8
Δ0.30/w150,May-26,36,23900,23750,-0.302,18.5,40.1,109.9,150,10715.0,26.7,24.3,2.03,1.86,0.7,0.63,0.59,-21.4,-2.6,89.6,0.25,24.3,13.4
Δ0.25/w100,May-26,36,23650,23550,-0.251,19.2,21.43,78.57,100,7661.0,21.4,18.2,2.98,2.89,0.75,0.68,0.64,-14.8,4.9,69.4,0.36,18.2,10.0
Δ0.25/w150,May-26,36,23650,23500,-0.251,19.2,29.67,120.33,150,11732.0,19.8,16.4,3.01,2.89,0.75,0.68,0.64,-24.6,9.6,107.7,0.37,16.4,9.0
Δ0.20/w100,May-26,36,23350,23250,-0.197,19.8,15.45,84.55,100,8244.0,15.4,12.2,4.18,4.12,0.8,0.75,0.69,-15.3,5.9,67.7,0.51,12.2,6.7
Δ0.20/w150,May-26,36,23350,23200,-0.197,19.8,23.38,126.62,150,12346.0,15.6,12.3,4.22,4.12,0.8,0.75,0.69,-22.7,14.9,113.5,0.52,12.3,6.8
Δ0.30/w100,Jun-30,71,23900,23800,-0.302,18.1,25.28,74.72,100,7286.0,25.3,22.5,1.97,1.86,0.7,0.59,0.56,-18.3,-1.3,65.2,0.17,22.5,12.4
Δ0.30/w150,Jun-30,71,23900,23750,-0.302,18.1,38.4,111.6,150,10881.0,25.6,22.9,2.02,1.86,0.7,0.59,0.56,-26.9,-21.9,54.9,0.18,22.9,12.6
Δ0.25/w100,Jun-30,71,23550,23450,-0.25,18.9,21.27,78.73,100,7676.0,21.3,18.0,3.39,3.3,0.75,0.65,0.61,-17.4,4.0,81.8,0.29,18.0,9.9
Δ0.25/w150,Jun-30,71,23550,23400,-0.25,18.9,31.62,118.38,150,11542.0,21.1,17.8,3.43,3.3,0.75,0.65,0.61,-26.4,6.9,126.1,0.3,17.8,9.8
Δ0.20/w100,Jun-30,71,23200,23100,-0.199,19.1,14.07,85.93,100,8378.0,14.1,10.9,4.79,4.74,0.8,0.71,0.66,-19.9,-1.5,59.3,0.42,10.9,6.0
Δ0.20/w150,Jun-30,71,23200,23050,-0.199,19.1,25.8,124.2,150,12109.0,17.2,13.8,4.84,4.74,0.8,0.71,0.66,-25.2,-1.3,91.8,0.42,13.8,7.6
