underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,variant,timing,v3_first_fire
NIFTY,2024,3,2024-02-22,2024-03-28,2024-02-29,35,28,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,637.7229632599999,737.7499999999999,100.02703674,8643.375,profit_take,-0.2968697147116397,14.483957,1.0,pt50,first_fire,2024-02-22
NIFTY,2024,3,2024-02-23,2024-03-28,2024-02-29,34,28,22193.65,22326.9,21850.0,21750.0,100.0,11.149999999999999,0.0,11.149999999999999,625.8184584399999,724.7499999999999,98.93154156,8662.875,profit_take,-0.2970631656708036,13.869176,1.0,pt50,plus_one_day,2024-02-22
NIFTY,2024,3,2024-02-23,2024-03-28,2024-02-29,34,28,22193.65,22326.9,21850.0,21750.0,100.0,11.149999999999999,0.0,11.149999999999999,625.8184584399999,724.7499999999999,98.93154156,8662.875,profit_take,-0.2970631656708036,13.869176,1.0,pt50,worst_of_two,2024-02-22
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-21,27,9,22456.7,22488.65,22100.0,22000.0,100.0,24.0,11.799999999999997,12.200000000000003,671.8367957400003,793.0000000000002,121.16320425999999,3705.0,profit_take,-0.29536723537548604,14.787354,0.5,pt50,first_fire,2024-05-03
NIFTY,2024,5,2024-05-06,2024-05-30,2024-05-30,24,0,22458.0,22488.65,22100.0,22000.0,100.0,21.150000000000006,0.0,21.150000000000006,1259.2735534400003,1374.7500000000005,115.47644656,3843.9375,profit_take,-0.2949712613124822,15.276194,0.5,pt50,plus_one_day,2024-05-03
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-21,27,9,22456.7,22488.65,22100.0,22000.0,100.0,24.0,11.799999999999997,12.200000000000003,671.8367957400003,793.0000000000002,121.16320425999999,3705.0,profit_take,-0.29536723537548604,14.787354,0.5,pt50,worst_of_two,2024-05-03
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-07,35,20,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.25,12.25,671.4317438200001,796.25,124.81825617999999,4265.625,profit_take,-0.30678153301772404,14.484429,0.5,pt50,first_fire,2024-05-23
NIFTY,2024,6,2024-05-24,2024-06-27,2024-06-07,34,20,22952.0,24044.5,22600.0,22500.0,100.0,11.050000000000004,0.25,10.800000000000004,579.0704225600002,702.0000000000002,122.92957744,4336.312499999999,profit_take,-0.2969359602294084,13.758636,0.5,pt50,plus_one_day,2024-05-23
NIFTY,2024,6,2024-05-24,2024-06-27,2024-06-07,34,20,22952.0,24044.5,22600.0,22500.0,100.0,11.050000000000004,0.25,10.800000000000004,579.0704225600002,702.0000000000002,122.92957744,4336.312499999999,profit_take,-0.2969359602294084,13.758636,0.5,pt50,worst_of_two,2024-05-23
NIFTY,2024,9,2024-09-06,2024-09-26,2024-09-06,20,20,24868.5,26216.05,24450.0,24350.0,100.0,24.0,24.0,0.0,-140.75189468,0.0,140.75189468,7410.0,managed,-0.2948679898975566,16.886682,1.0,pt50,first_fire,2024-09-06
NIFTY,2024,9,2024-09-09,2024-09-26,2024-09-10,17,16,24942.25,26216.05,24600.0,24500.0,100.0,23.30000000000001,3.799999999999997,19.500000000000014,1138.035114820001,1267.500000000001,129.46488518,7478.249999999998,profit_take,-0.30288485693562284,15.633284,1.0,pt50,plus_one_day,2024-09-06
NIFTY,2024,9,2024-09-06,2024-09-26,2024-09-06,20,20,24868.5,26216.05,24450.0,24350.0,100.0,24.0,24.0,0.0,-140.75189468,0.0,140.75189468,7410.0,managed,-0.2948679898975566,16.886682,1.0,pt50,worst_of_two,2024-09-06
NIFTY,2024,12,2024-11-22,2024-12-26,2024-12-23,34,3,23873.5,23750.2,23450.0,23350.0,100.0,14.450000000000003,5.699999999999999,8.750000000000004,463.8061945200002,568.7500000000002,104.94380548000001,8341.125,profit_take,-0.3233053849876759,18.223543,1.0,pt50,first_fire,2024-11-22
NIFTY,2024,12,2024-11-25,2024-12-26,2024-11-27,31,29,24250.8,23750.2,23850.0,23750.0,100.0,6.800000000000001,0.5499999999999998,6.250000000000001,307.2637487200001,406.25000000000006,98.98625128,9087.0,profit_take,-0.32998482140598384,18.428323,1.0,pt50,plus_one_day,2024-11-22
