strike,pe_last,pe_bid,pe_ask,pe_oi,pe_volume,pe_iv,pe_delta,pe_theta,abs_delta
22400.0,72.2,70.35,72.4,34125,58370,21.95672890266867,-0.08755,-2.98357,0.08755
22450.0,75.7,70.35,75.7,2990,2600,21.837517915601733,-0.0915,-3.05581,0.0915
22500.0,77.6,77.2,77.6,1323920,1610245,21.58629925007786,-0.09433,-3.07712,0.09433
22550.0,83.6,80.85,82.85,4550,15600,21.62783205317933,-0.10017,-3.21206,0.10017
22600.0,85.95,82.1,87.35,59670,42965,21.391140791977932,-0.10346,-3.23855,0.10346
22650.0,90.85,89.3,91.65,8320,5915,21.322045333295257,-0.10859,-3.33051,0.10859
22700.0,93.0,93.0,94.4,53755,51870,21.05539834161756,-0.11189,-3.34418,0.11189
22750.0,97.85,94.05,99.4,10335,19500,20.95777732964504,-0.11711,-3.42408,0.11711
22800.0,102.6,100.65,102.75,143065,125775,20.839431071277808,-0.12231,-3.4952,0.12231
22850.0,110.6,106.55,108.9,5850,4745,20.90332732024677,-0.12968,-3.6384,0.12968
22900.0,112.4,112.0,114.1,46410,60450,20.580767363544876,-0.13311,-3.62618,0.13311
22950.0,120.0,117.4,119.85,14365,21125,20.58576843209905,-0.1403,-3.74386,0.1403
23000.0,125.2,123.3,125.0,1565070,1852695,20.437283825263272,-0.14605,-3.79869,0.14605
23050.0,132.8,125.85,132.7,6175,11440,20.404984768474865,-0.15331,-3.89854,0.15331
23100.0,138.9,136.65,138.6,62465,94380,20.27566443819265,-0.15974,-3.9576,0.15974
23150.0,147.15,138.3,144.5,6435,5395,20.241209062750542,-0.16747,-4.05257,0.16747
23200.0,150.7,149.2,151.7,114920,148330,19.956226645700244,-0.17264,-4.0449,0.17264
23250.0,162.2,157.1,159.65,8580,10205,20.046673493675836,-0.18227,-4.18464,0.18227
23300.0,163.9,158.65,166.1,89830,81250,19.65281643195391,-0.18674,-4.12842,0.18674
23350.0,176.95,172.45,175.2,5655,7215,19.77607061072656,-0.19726,-4.27465,0.19726
23400.0,183.6,180.0,182.45,65065,66950,19.58690808512806,-0.20456,-4.29333,0.20456
23450.0,194.35,189.2,192.4,6565,7670,19.563617721428088,-0.21396,-4.37367,0.21396
23500.0,202.25,200.5,202.55,1268020,1105195,19.39922170942069,-0.22209,-4.39428,0.22209
23550.0,213.95,208.2,211.35,11375,13260,19.37848725078066,-0.23205,-4.46661,0.23205
23600.0,224.0,219.25,222.45,48945,56615,19.270364309508622,-0.24134,-4.49985,0.24134
23650.0,235.4,227.95,234.45,5200,4680,19.19897379044985,-0.25129,-4.54209,0.25129
23700.0,243.0,239.0,246.2,68770,82485,18.96111176568223,-0.25986,-4.51465,0.25986
23750.0,258.1,250.8,255.0,10010,8450,18.997313103912326,-0.27142,-4.58667,0.27142
23800.0,261.15,262.2,266.2,171470,124345,18.558508254402145,-0.27874,-4.47097,0.27874
23850.0,281.0,276.1,283.6,29900,46280,18.733142632763233,-0.29213,-4.58242,0.29213
23900.0,291.4,291.4,294.6,119405,74230,18.537484713612628,-0.30239,-4.54609,0.30239
23950.0,308.35,299.95,307.2,6565,4160,18.55968994673643,-0.31479,-4.58482,0.31479
24000.0,318.35,316.05,318.35,1255280,999115,18.315533762334205,-0.32531,-4.51537,0.32531
24050.0,339.1,328.05,335.9,5785,5590,18.428231136251767,-0.3388,-4.57224,0.3388
24100.0,349.2,347.0,353.2,48945,77350,18.152600697556956,-0.34978,-4.47467,0.34978
24150.0,370.3,358.65,367.0,8125,5395,18.23252753051045,-0.36336,-4.50218,0.36336
24200.0,384.8,379.55,384.75,169325,216515,18.068674408152543,-0.37567,-4.42902,0.37567
24250.0,402.45,392.05,400.35,14170,21450,17.990051983487863,-0.38871,-4.37877,0.38871
24300.0,421.6,418.0,421.75,154960,251095,17.9397871918066,-0.40208,-4.32988,0.40208
24350.0,434.8,430.0,435.9,25025,35295,17.675286718203434,-0.41488,-4.18955,0.41488
24400.0,453.75,451.6,458.8,117195,130325,17.57743123336209,-0.42859,-4.10257,0.42859
24450.0,475.35,463.1,486.15,18395,17355,17.543161823990104,-0.44264,-4.03014,0.44264
24500.0,492.05,490.8,497.15,1156610,891540,17.330563732751735,-0.45658,-3.87779,0.45658
24550.0,522.25,505.6,541.25,7800,11310,17.52584029477477,-0.47104,-3.87622,0.47104
24600.0,543.0,532.0,551.75,157170,111085,17.39806037934946,-0.48533,-3.73692,0.48533
24650.0,571.95,542.75,584.4,6110,4940,17.507967592653134,-0.49952,-3.68416,0.49952
24700.0,586.9,568.95,607.9,66820,14430,17.151681066291264,-0.51448,-3.42961,0.51448
24750.0,626.35,574.0,637.8,4680,910,17.550118510737427,-0.52778,-3.48056,0.52778
24800.0,644.25,630.0,656.85,197795,14690,17.241712450379787,-0.54299,-3.22414,0.54299
24850.0,648.0,652.4,700.3,5460,1690,16.454841618920806,-0.56097,-2.74288,0.56097
