cycle,underlying,entry_date,expiry,exit_date,short_strike,long_strike,width,dte_entry,spot_entry,spot_exit,short_entry_premium,long_entry_premium,net_credit_entry,net_credit_exit,short_entry_iv,short_entry_delta,pnl_per_share,pnl_dollars,max_loss,buying_power,return_on_bp,outcome,param_delta,param_dte,param_width,param_pt,param_manage
1,IWM,2024-05-17,2024-06-21,2024-06-21,203.0,193.0,10.0,35,208.08,200.35,2.2,0.63,1.5386000000000002,2.6500000000000057,0.17710794963836668,-0.2962849105174287,-1.1114000000000055,-111.14000000000055,8.43,843.0,-0.1318386714116258,partial_loss,0.3,35,10.0,1.0,
2,IWM,2024-06-14,2024-07-19,2024-07-15,194.0,184.0,10.0,35,198.73,217.19,2.43,0.75,1.6464,-0.0102,0.1905640251159668,-0.3117771445180263,1.6566,165.66,8.32,832.0,0.19911057692307693,profit_take,0.3,35,10.0,1.0,
3,IWM,2024-07-12,2024-08-16,2024-08-16,208.0,198.0,10.0,35,213.14,212.6,2.52,0.76,1.7247999999999999,0.0,0.1878079614639282,-0.3075954281263013,1.7247999999999999,172.48,8.24,824.0,0.20932038834951455,profit_take,0.3,35,10.0,1.0,
4,IWM,2024-08-16,2024-09-20,2024-09-20,206.0,196.0,10.0,35,212.6,221.57,2.57,0.86,1.6758,0.0,0.21082919902801517,-0.28646426802185004,1.6758,167.57999999999998,8.29,828.9999999999999,0.20214716525934862,profit_take,0.3,35,10.0,1.0,
5,IWM,2024-09-13,2024-10-18,2024-10-18,209.0,199.0,10.0,35,216.83,225.65,3.13,1.2,1.8914,0.0,0.2480217535018921,-0.2883238959820255,1.8914,189.14,8.07,807.0,0.23437422552664186,expired_worthless,0.3,35,10.0,1.0,
6,IWM,2024-10-11,2024-11-15,2024-11-11,215.0,205.0,10.0,35,221.26,241.7,3.86,1.73,2.0873999999999997,0.0,0.25166471652984623,-0.3271664283975103,2.0873999999999997,208.73999999999998,7.87,787.0,0.26523506988564166,profit_take,0.3,35,10.0,1.0,
7,IWM,2024-11-15,2024-12-20,2024-12-20,221.0,211.0,10.0,35,228.48,221.92,2.91,1.26,1.617,0.0,0.22194881916046144,-0.2862521535608783,1.617,161.7,8.35,835.0,0.19365269461077844,profit_take,0.3,35,10.0,1.0,
8,IWM,2024-12-13,2025-01-17,2025-01-17,225.0,215.0,10.0,35,233.07,225.46,2.74,1.1,1.6072000000000002,-0.020399999999999998,0.2180102230072022,-0.27351705297622436,1.6276000000000002,162.76000000000002,8.36,836.0,0.19468899521531102,profit_take,0.3,35,10.0,1.0,
9,IWM,2025-01-17,2025-02-21,2025-02-21,219.0,209.0,10.0,35,225.46,217.8,2.64,0.94,1.6660000000000001,1.1999999999999886,0.2002340892791748,-0.2910226029245267,0.4660000000000115,46.60000000000115,8.3,830.0000000000001,0.056144578313254395,partial_loss,0.3,35,10.0,1.0,
10,IWM,2025-02-14,2025-03-21,2025-03-21,221.0,211.0,10.0,35,225.97,203.79,3.03,1.07,1.9207999999999996,10.0,0.19569469032287598,-0.3266944469589166,-8.0792,-807.9200000000001,8.040000000000001,804.0000000000001,-1.0048756218905472,max_loss,0.3,35,10.0,1.0,
12,IWM,2025-04-11,2025-05-16,2025-05-16,174.0,164.0,10.0,35,184.36,209.85,4.82,2.72,2.058,0.0,0.41994672069549566,-0.2965222112236138,2.0580000000000003,205.80000000000004,7.9,790.0,0.2605063291139241,expired_worthless,0.3,35,10.0,1.0,
13,IWM,2025-05-16,2025-06-20,2025-06-20,202.0,192.0,10.0,35,209.85,209.21,2.27,0.91,1.3327999999999998,0.0,0.21664649600982666,-0.2583068934971976,1.3327999999999998,133.27999999999997,8.64,864.0,0.15425925925925923,profit_take,0.3,35,10.0,1.0,
14,IWM,2025-06-13,2025-07-18,2025-07-17,203.0,193.0,10.0,35,208.89,223.92,3.72,1.87,1.813,0.0,0.2546019746780396,-0.32915201926623733,1.813,181.29999999999998,8.15,815.0,0.22245398773006134,profit_take,0.3,35,10.0,1.0,
15,IWM,2025-07-11,2025-08-15,2025-08-15,217.0,207.0,10.0,35,221.7,227.13,3.8,1.6,2.1559999999999997,0.0,0.22611629257202148,-0.349734888067323,2.1559999999999997,215.59999999999997,7.800000000000001,780.0000000000001,0.27641025641025635,profit_take,0.3,35,10.0,1.0,
16,IWM,2025-08-15,2025-09-19,2025-09-19,221.0,211.0,10.0,35,227.13,242.98,3.49,1.48,1.9698000000000002,0.0,0.22886281967163086,-0.32064138751927634,1.9698000000000002,196.98000000000002,7.99,799.0,0.2465331664580726,profit_take,0.3,35,10.0,1.0,
17,IWM,2025-09-12,2025-10-17,2025-10-17,231.0,221.0,10.0,35,238.34,243.41,3.09,1.26,1.7933999999999999,0.0,0.21836784372329715,-0.29361881463558337,1.7933999999999999,179.33999999999997,8.17,817.0,0.21951040391676863,profit_take,0.3,35,10.0,1.0,
18,IWM,2025-10-17,2025-11-21,2025-11-21,237.0,227.0,10.0,35,243.41,235.6,4.6,2.39,2.1657999999999995,1.4000000000000057,0.25828308391571053,-0.33973620430959434,0.7657999999999938,76.57999999999939,7.790000000000001,779.0000000000001,0.09830551989730343,partial_loss,0.3,35,10.0,1.0,
19,IWM,2025-11-14,2025-12-19,2025-12-18,230.0,220.0,10.0,35,237.48,248.71,4.19,2.1,2.0482000000000005,0.0,0.26357110223770147,-0.3185922657813121,2.0482000000000005,204.82000000000005,7.91,791.0,0.2589380530973452,profit_take,0.3,35,10.0,1.0,
20,IWM,2025-12-12,2026-01-16,2026-01-15,246.0,236.0,10.0,35,253.85,265.51,3.12,1.47,1.617,0.0,0.2123931936264038,-0.2883550580042797,1.617,161.7,8.35,835.0,0.19365269461077844,profit_take,0.3,35,10.0,1.0,
21,IWM,2026-01-16,2026-02-20,2026-02-20,260.0,250.0,10.0,35,265.76,264.61,3.6,1.64,1.9208,0.0,0.19592356758117677,-0.3288059733598144,1.9208,192.08,8.04,803.9999999999999,0.23890547263681597,profit_take,0.3,35,10.0,1.0,
22,IWM,2026-02-13,2026-03-20,2026-03-20,256.0,246.0,10.0,35,262.96,242.22,5.13,2.83,2.254,10.0,0.2640956126213074,-0.3417914312095315,-7.746,-774.6,7.7,770.0,-1.005974025974026,max_loss,0.3,35,10.0,1.0,
23,IWM,2026-03-13,2026-04-17,2026-04-15,239.0,229.0,10.0,35,246.59,269.39,3.92,2.12,1.7639999999999998,0.0,0.2454468843460083,-0.3117818825326288,1.7639999999999998,176.39999999999998,8.2,819.9999999999999,0.2151219512195122,profit_take,0.3,35,10.0,1.0,
