cycle,underlying,entry_date,expiry,exit_date,strike,dte_entry,spot_entry,spot_exit,entry_premium,exit_premium,entry_iv,entry_delta,pnl_per_share,pnl_dollars,collateral,return_pct,outcome,param_delta,param_dte,param_pt,param_manage
1,IWM,2024-05-17,2024-06-21,2024-05-31,200.0,35,208.08,205.77,1.53,1.5810000000000002,0.1843843391418456,-0.2186190307540932,-0.0816000000000001,-8.16000000000001,20000.0,-0.000408,managed,0.2,35,0.5,21.0
2,IWM,2024-06-14,2024-07-19,2024-06-24,191.0,35,198.73,201.22,1.71,0.7548,0.1980025360107421,-0.2330888428318099,0.921,92.1,19100.0,0.0048219895287958,profit_take,0.2,35,0.5,21.0
3,IWM,2024-07-12,2024-08-16,2024-07-16,204.0,35,213.14,224.6,1.54,0.5813999999999999,0.1933105522155762,-0.2077422264897802,0.9278000000000002,92.78000000000002,20400.0,0.0045480392156862,profit_take,0.2,35,0.5,21.0
4,IWM,2024-08-16,2024-09-20,2024-08-23,201.0,35,212.6,220.38,1.53,0.6528,0.222120477104187,-0.1852345402547762,0.8466,84.66,20100.0,0.0042119402985074,profit_take,0.2,35,0.5,21.0
5,IWM,2024-09-13,2024-10-18,2024-09-19,203.0,35,216.83,223.97,1.75,0.6732,0.2555460933685303,-0.1808650817574867,1.0417999999999998,104.17999999999998,20300.0,0.0051320197044334,profit_take,0.2,35,0.5,21.0
6,IWM,2024-10-11,2024-11-15,2024-10-25,209.0,35,221.26,218.89,2.44,2.295,0.267981757736206,-0.2217396011594068,0.0962,9.620000000000006,20900.0,0.0004602870813397,managed,0.2,35,0.5,21.0
7,IWM,2024-11-15,2024-12-20,2024-11-22,216.0,35,228.48,238.77,1.96,0.765,0.2385710300445556,-0.2005400337360528,1.1557999999999995,115.57999999999996,21600.0,0.0053509259259259,profit_take,0.2,35,0.5,21.0
8,IWM,2024-12-13,2025-01-17,2024-12-27,220.0,35,233.07,222.39,1.71,3.264,0.2275467754364014,-0.1844122689012141,-1.5882000000000005,-158.82000000000002,22000.0,-0.0072190909090909,managed,0.2,35,0.5,21.0
9,IWM,2025-01-17,2025-02-21,2025-01-23,215.0,35,225.46,229.33,1.83,0.8976000000000001,0.2122787549972534,-0.2109491907363249,0.8958,89.58,21500.0,0.0041665116279069,profit_take,0.2,35,0.5,21.0
10,IWM,2025-02-14,2025-03-21,2025-02-28,217.0,35,225.97,214.65,2.04,6.364800000000001,0.2045922937393188,-0.2356381877697843,-4.365600000000001,-436.56000000000006,21700.0,-0.0201179723502304,managed,0.2,35,0.5,21.0
12,IWM,2025-04-11,2025-05-16,2025-04-14,167.0,35,184.36,186.53,3.49,1.6829999999999998,0.4616882106781005,-0.2160483198957993,1.7372000000000003,173.72000000000006,16700.0,0.0104023952095808,profit_take,0.2,35,0.5,21.0
13,IWM,2025-05-16,2025-06-20,2025-05-30,195.0,35,209.85,205.07,1.16,1.4178,0.2385328838348389,-0.1416615827462687,-0.2810000000000001,-28.100000000000016,19500.0,-0.0014410256410256,managed,0.2,35,0.5,21.0
14,IWM,2025-06-13,2025-07-18,2025-06-24,198.0,35,208.89,214.47,2.57,0.7854,0.2726546684265137,-0.2377200859526739,1.7331999999999996,173.31999999999996,19800.0,0.0087535353535353,profit_take,0.2,35,0.5,21.0
15,IWM,2025-07-11,2025-08-15,2025-07-23,211.0,35,221.7,226.68,2.28,0.9078,0.2408311929702759,-0.2288365053810516,1.3266,132.66,21100.0,0.0062872037914691,profit_take,0.2,35,0.5,21.0
16,IWM,2025-08-15,2025-09-19,2025-08-22,216.0,35,227.13,234.83,2.31,0.8874,0.2415941171646118,-0.2263380563784913,1.3763999999999998,137.64,21600.0,0.0063722222222222,profit_take,0.2,35,0.5,21.0
17,IWM,2025-09-12,2025-10-17,2025-09-18,227.0,35,238.34,244.84,2.21,0.9894,0.2281094320297241,-0.2207058088418944,1.1764,117.64,22700.0,0.0051823788546255,profit_take,0.2,35,0.5,21.0
18,IWM,2025-10-17,2025-11-21,2025-10-24,230.0,35,243.41,249.43,2.83,0.9792,0.2735844822883606,-0.2271051730239103,1.7942,179.42000000000002,23000.0,0.0078008695652173,profit_take,0.2,35,0.5,21.0
19,IWM,2025-11-14,2025-12-19,2025-11-25,225.0,35,237.48,245.13,3.04,1.02,0.2790060123443604,-0.2405607691473929,1.9592,195.92,22500.0,0.0087075555555555,profit_take,0.2,35,0.5,21.0
20,IWM,2025-12-12,2026-01-16,2025-12-22,241.0,35,253.85,253.58,2.25,1.1424,0.231528286075592,-0.210669098881111,1.0626,106.26,24100.0,0.0044091286307053,profit_take,0.2,35,0.5,21.0
21,IWM,2026-01-16,2026-02-20,2026-01-30,254.0,35,265.76,259.65,2.27,2.9784,0.2114204652786254,-0.2201038883276301,-0.7538,-75.38,25400.0,-0.002967716535433,managed,0.2,35,0.5,21.0
22,IWM,2026-02-13,2026-03-20,2026-02-26,248.0,35,262.96,265.99,3.2,1.53,0.2842797258377075,-0.2280794319332521,1.606,160.60000000000002,24800.0,0.0064758064516129,profit_take,0.2,35,0.5,21.0
23,IWM,2026-03-13,2026-04-17,2026-03-27,234.0,35,246.59,243.1,2.96,4.9572,0.2665703479766845,-0.2375305303701828,-2.0564000000000004,-205.64000000000004,23400.0,-0.0087880341880341,managed,0.2,35,0.5,21.0
1,IWM,2024-05-17,2024-06-21,2024-06-21,200.0,35,208.08,200.35,1.53,0.0,0.1843843391418456,-0.2186190307540932,1.4994,149.94,20000.0,0.007497,expired_worthless,0.2,35,1.0,
2,IWM,2024-06-14,2024-07-19,2024-07-19,191.0,35,198.73,216.84,1.71,0.0,0.1980025360107421,-0.2330888428318099,1.6758,167.57999999999998,19100.0,0.0087738219895287,expired_worthless,0.2,35,1.0,
3,IWM,2024-07-12,2024-08-16,2024-08-16,204.0,35,213.14,212.6,1.54,0.0,0.1933105522155762,-0.2077422264897802,1.5092,150.92000000000002,20400.0,0.0073980392156862,expired_worthless,0.2,35,1.0,
4,IWM,2024-08-16,2024-09-20,2024-09-20,201.0,35,212.6,221.57,1.53,0.0,0.222120477104187,-0.1852345402547762,1.4994,149.94,20100.0,0.0074597014925373,expired_worthless,0.2,35,1.0,
